CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Seminario de Álgebra Homológica,NO12/11/2025,,Miércoles,9:00,11:00,0,1101,,,,31,Seminario de Álgebra Homológica
Semana de los profesorados,12/11/2025,,Miércoles,9:00,11:00,0,1101,,,,26,Semana de los profesorados
Bases de Programación/Taller de Inf./PC,,,Miércoles,11:00,13:00,0,1101,DC,Mocskos,,39,Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional
Bases de Programación/Taller de Inf./PC,,,Miércoles,14:00,16:00,0,1101,DC,Mocskos,,39,Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional
Almacenamiento y Rec.Inf./Base de Datos,,,Miércoles,17:00,22:00,0,1101,DC,Platzer,,39,Almacenamiento y Recuperación de la Información/Base de Datos
Robótica Móvil,,,Miércoles,10:00,13:00,0,1102,DC,De Cristóforis,,14,Robótica Móvil/Fundamentos y Aplicaciones de Robótica Movil
Virología Molecular,,,Miércoles,13:00,15:00,0,1102,QB,Garcia Cybele,,19,Virología Molecular
Topología/Tópicos de Topología,,,Miércoles,17:00,22:00,0,1102,DM,Devoto/Arnone,,30,Topología/Tópicos de Topología
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,11:00,13:30,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,14:00,17:00,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,19:30,21:30,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,11:00,13:30,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,14:00,17:00,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,19:30,21:30,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,11:00,13:30,0,1105,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,14:00,17:00,0,1105,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,19:30,21:30,0,1105,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,11:00,13:30,0,1106,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Ingeniería de Software II,,,Miércoles,17:00,22:00,0,1106,DC,,,25,Ingeniería de Software II
Climatología,,,Miércoles,8:00,11:00,0,1107,DCAO,Robleto/Ayala,,12,Climatología
Almacenamiento y Rec.Inf./Base de Datos,,,Miércoles,17:00,19:00,0,1107,DC,,,39,Almacenamiento y Recuperación de la Información/Base de Datos
Semana de los profesorados,12/11/2025,,Miércoles,14:00,16:00,0,1107,,,,26,Semana de los profesorados
Procesamiento Digital de Imágenes,,,Miércoles,14:00,17:00,0,1107,D,,,33,Procesamiento Digital de Imágenes
Biometría ,,TM,Miércoles,9:30,13:00,0,1108,EGE,Velasco,,10,Biometría 
Biometría ,,TT,Miércoles,13:30,17:00,0,1108,EGE,Farina,,10,Biometría 
Biometría II/Mod.Lin.Grales.y Mixtos ,,TN,Miércoles,17:30,20:30,0,1108,EGE,Flaibani,,37,Biometría II/Modelos Lineales Generales y Mixtos
Matemática II,12/11/2025,,Miércoles,10:00,14:00,0,1109,,,,13,Semana de los profesorados
Int.al Modelado Continuo,,,Miércoles,14:00,18:00,0,1109,DF,Fainstein,,24,Introducción al Modelado Continuo/Ecuaciones de la Física Matemática
Ecología General,12/11/2025,,Miércoles,18:00,22:00,0,1109,,,,,
Conceptos y Técnicas de Biotecnologia,19/11/2025,,Miércoles,18:00,22:00,0,1109,FBMC,Romano,,37,Conceptos y Técnicas de Biotecnologia
Robótica Móvil,05/11/2025-19/11/2025-26/11/2025,,Miércoles,10:00,13:00,0,1110,,,,,
Semana de los profesorados,12/11/2025,,Miércoles,10:00,13:00,0,1110,,,,26,Semana de los profesorados
Biometría II/Mod.Lin.Grales.y Mixtos ,,TT,Miércoles,13:00,16:00,0,1110,EGE,Guidobono,,37,Biometría II/Modelos Lineales Generales y Mixtos
Cálculo Numérico/ECN,,,Miércoles,16:00,19:00,0,1110,DM,Etcheverry/Pedersen,,20,Cálculo Numérico/Elementos de Cálculo numérico
Ciencias de Redes Humanas y Sociales,,,Miércoles,19:00,22:00,0,1110,,,,36,Ciencias de Redes Humanas y Sociales
Semana de los profesorados,12/11/2025,,Miércoles,14:00,16:00,0,1111,,,,26,Semana de los profesorados
Cálculo Numérico/ECN,,,Miércoles,16:00,19:00,0,1111,DM,Etcheverry/Pedersen,,20,Cálculo Numérico/Elementos de Cálculo numérico
Optimización Semidefinida,,,Miércoles,19:00,22:00,0,1111,IC,Laplagne,,25,Optimización Semidefinida/Temas de Optimización Semidefinida
Matemática II,,,Miércoles,11:00,14:00,0,1112,DM,Stockdale,,13,Matemática II
Semana de los profesorados ,12/11/2025,,Miércoles,14:00,16:00,0,1112,,,,27,Semana de los profesorados 
Cálculo Numérico/ECN,,,Miércoles,16:00,19:00,0,1112,DM,Etcheverry/Pedersen,,20,Cálculo Numérico/Elementos de Cálculo numérico
Matemática II,,,Miércoles,19:00,22:00,0,1112,DM,Perrella,,13,Matemática II
Taller de Int.a las Cs.de Población,5/11/2025,,Miércoles,18:00,20:00,0,1113,,,,35,
Fisiología Animal Comparada,12/11/2025,,Miércoles,10:00,12:00,0,1113,BBE,Rodríguez,,27,Fisiología Animal Comparada
Taller de Int.a las Cs.de Población,12/11/2025,,Miércoles,18:00,20:00,0,1113,,,,35,
Int.Neurociencias Cognitivas de Lenguaje,03/12/2025,,Miércoles,9:00,18:00,0,1113,,,,40,
Semana de los profesorados,12/11/2025,,Miércoles,10:00,13:00,0,1114,,,,26,Semana de los profesorados
Semana de los profesorados,12/11/2025,,Miércoles,14:00,17:00,0,1114,,,,26,Semana de los profesorados
Curso de Láseres (Estrada),19/11/2025,,Miércoles,9:00,17:00,0,1114,,,,26,
Workshop Mixed local and nonlocal ops,26/11/2025,,Miércoles,9:00,17:00,0,1114,,Balderrama (DM),,37,
"Economía, Conceptos y Métodos",,,Miércoles,17:00,21:00,0,1114,,,,29,"Economía, Conceptos y Métodos"
Aprendizaje Supervisado:Mat.del Learning,,,Miércoles,10:00,14:00,0,1115,,,3º bimestre,40,Aprendizaje Supervisado: la Matemática del Learning
Drug discovery (Zaiat),12/11/2025,,Miércoles,9:00,13:00,0,1115,,,,22,Drug discovery (Zaiat)
Est.Sistema Climático 1/Prob.y Est.,,,Miércoles,14:00,19:00,0,1115,DCAO,Bettolli/Diaz,,35,Estadística para el Sistema Climático 1/Probabilidades y Estadística 
Temas Avanzados de Term.Fca.Estadística,,,Miércoles,9:00,14:00,0,1203,DF,Calzetta,,39,Temas Avanzados de Termodinámica y Física Estadística/Nuevos Desarrollos en Termodinámica y Física Estadística
Análisis Complejo,,,Miércoles,14:00,19:00,0,1203,DM,Rial/Aguilera,,17,Análisis Complejo
Ecuaciones Diferenciales ,,,Miércoles,9:00,14:00,0,1204,DM,Fernandez Bonder/Ceresa,,25,Ecuaciones Diferenciales A/Ecuaciones Diferenciales B
Redacción y Comunicación Científica ,,,Miércoles,14:00,17:00,0,1204,DCAO,,,36,Redacción y Comunicación Científica (OSMAN) 
Electromagnetismo y Óptica ,,TB,Miércoles,17:00,21:00,0,1204,DF,Pietrasanta/Gulisano,,27,Electromagnetismo y Óptica 
Ecología General ,,TA,Miércoles,9:00,13:00,0,1205,EGE,Courtalon,,17,Ecología General 
CODA,5/11/2025,,miércoles,15:00,18:00,0,1205,,,,,
Ecología General ,,TC,Miércoles,18:00,22:00,0,1205,EGE,Cristiano,,17,Ecología General 
Ecología General ,,TB,Miércoles,9:00,13:00,0,1206,EGE,Burroni,,17,Ecología General 
Int.al Modelado Continuo,,,Miércoles,14:00,18:00,0,1206,EGE,Fainstein,,24,Introducción al Modelado Continuo/Ecuaciones de la Física Matemática
Ecología General ,,TD,Miércoles,18:00,22:00,0,1206,EGE,Santoandre,,17,Ecología General 
Química Física I ,,,Miércoles,9:00,14:00,0,1207,QI,Castro,,17,Química Física I 
Meteorología General ,,,Miércoles,14:00,19:00,0,1207,DCAO,Diaz/Burek,,21,Meteorología General 
Teoría de las Comunicaciones,,,Miércoles,19:00,22:00,0,1207,DC,Righetti,,28,Teoría de las Comunicaciones
Matemática II,,,Miércoles,9:00,11:00,0,1208,DM,Stockdale,,13,Matemática II
Química Orgánica 1,,T1,Miércoles,12:00,14:30,0,1208,QO,Di Chenna,,18,Química Orgánica 1
Química Orgánica 1,,,Miércoles,15:00,17:00,0,1208,QO,Di Chenna,,18,Química Orgánica 1
Matemática II,,,Miércoles,17:00,19:00,0,1208,DM,Suarez Alvarez,,13,Matemática II
Vertebrados,,,Miércoles,9:30,12:30,0,1209,BBE,Faivovich,,11,Vertebrados
Introducción al Cambio Climatología,,,Miércoles,14:00,17:00,0,1209,DCAO,,,35,Procesamiento de Imágenes I 
Física II ,,,Miércoles,17:00,21:00,0,1209,DF,Morales/Severino,,10,Física II 
Electromagnetismo y Óptica,,TA,Miércoles,9:00,13:00,0,1301,DF,Estrada/Armaleo,,26,Electromagnetismo y Óptica
Reserva Groisman a partir de octubre,,,Miércoles,13:00,17:00,0,1301,,,,36,Reserva Groisman a partir de octubre
Química Física II ,,,Miércoles,17:00,22:00,0,1301,QI,Barja,,18,Química Física II 
Biometría II/Mod.Lin.Grales.y Mixtos ,,,Miércoles,9:30,12:00,0,1302,EGE,Pérez,,37,Biometría II/Modelos Lineales Generales y Mixtos 
Evolución,,,Miércoles,13:00,17:00,0,1302,EGE,Tropeira,,9,Evolución
Física Teórica 1,,,Miércoles,17:00,22:00,0,1302,DF,Minini/Rubin,,16,Física Teórica 1
CCP,05/11/2025,,Miércoles,12:00,14:00,0,1303,,,,,
Semana de los profesorados ,12/11/2025,,Miércoles,10:00,13:00,0,1303,,,,27,Semana de los profesorados 
Cierre de proyecto / Fleni Fingers,19/11/2025,,Miércoles,11:00,13:00,0,1303,,,,34,Cierre de proyecto / Fleni Fingers
Reserva Pickholz/Saragueta,26/11/2025,,Miércoles,9:00,13:00,0,1303,,,,26,Reserva Pickholz/Saragueta
Teoría Cuántica de Campos,,,Miércoles,14:00,19:00,0,1303,DF,Lombardo,,25,Teoría Cuántica de Campos/Teoría Cuántica de Campos
Tesis de Licenciatura ,,,Miércoles,10:00,13:00,0,1304,IC,Farall,,22,Tesis de Licenciatura 
Neurobiología del Aprendizaje y la Mem.,,,Miércoles,14:00,17:00,0,1304,FBMC,Romano,,39,Neurobiología del Aprendizaje y la Memoria/Mecanismos de Memoria
Neurobiología del Aprendizaje y la Mem.,,,Miércoles,18:00,22:00,0,1304,FBMC,Romano,,39,Neurobiología del Aprendizaje y la Memoria/Mecanismos de Memoria
Int.al Aprendizaje Automático en Grafos,,,Miércoles,9:00,13:00,0,1305,DC,Lombardi,,39,Introducción al Aprendizaje Automático en Grafos / 2025
Química Orgánica 1,,T2,Miércoles,17:30,20:00,0,1305,QO,Di Chenna,,18,Química Orgánica 1
Física del Plasma,,,Miércoles,10:00,14:00,0,1306,DF,Minotti/Xaubet,,17,Física del Plasma
LABI meeting 2025 ,12/11/2025,,Miércoles,14:00,17:00,0,1306,,Pietrasanta,,18,LABI meeting 2025 (Pietrasanta)
Procesamiento Digital de Geometría,,,Miércoles,17:00,19:00,0,1306,DC,Taubin,,34,Procesamiento Digital de Geometría
Ciencia de Redes Humanas y Sociales,,,Miércoles,17:00,19:00,0,1306,,,,35,Ciencia de Redes Humanas y Sociales
Teoría de Juegos (DC) 2024,NO12/11/2025,,Miércoles,14:30,18:00,2,1307,DC,Arbiser,,26,Teoría de Juegos (DC) 2024/Tópicos de Teoría de Juegos
Semana de los profesorados,12/11/2025,,Miércoles,10:00,13:00,0,1307,,,,26,Semana de los profesorados
Semana de los profesorados,12/11/2025,,Miércoles,14:00,17:00,0,1307,,,,26,Semana de los profesorados
AI,,,Miércoles,18:00,21:00,0,1307,,,,2,AI
Fisiología Animal Comparada,NO12/11/2025,,Miércoles,10:00,12:00,0,1308,BBE,Rodríguez,,27,Fisiología Animal Comparada
Seminario de Probabilidades,,,Miércoles,12:30,14:30,0,1308,,,,,
LAGOS 2025 (BONOMO),12/11/2025,,Miércoles,9:00,18:00,0,1308,,,,19,LAGOS 2025 (BONOMO)
Evolución ,,,Miércoles,9:30,12:30,0,1309,EGE,Soto/Tubaro,,10,Evolución 
Microbiología,,,Miércoles,14:30,16:30,0,1309,QB,Edreira,,13,Microbiología
Biometría ,,,Miércoles,18:30,21:30,0,1309,EGE,Cittadino,,10,Biometría 
Int.a la Botánica,5/11/2025,,Miércoles,18:00,21:00,0,1401,,,,17,Int.a la Botánica
LAGOS 2025 ,12/11/2025,,Miércoles,9:00,19:00,0,1401,,Bonomo,,11,LAGOS 2025 (BONOMO)
RESERVA ALBERTO KORNBLIHTT,19/11/2025,,MIércoles,9:00,17:00,0,1401,,,,26,RESERVA ALBERTO KORNBLIHTT
XIV Conference on Quantum Foundations ,26/11/2025,,Miércoles,8:30,18:00,0,1401,,Bosyk,,38,XIV Conference on Quantum Foundations BOSYK
Phonons 2025 ,03/12/2025,,Miércoles,9:00,18:00,0,1401,,Bragas,,13,Phonons 2025 (Bragas) del 
Homenaje al Dr Daniel Gomez,5/11/2025,,Miércoles,10:00,12:00,0,1402,,,,,
CODA,5/11/2025,,Miércoles,15:00,18:00,0,1402,,,,,
LAGOS 2025 ,12/11/2025,,Miércoles,9:00,18:00,0,1402,,Bonomo,,11,LAGOS 2025 (BONOMO)
IBBEA  - Perspectivas y desafíos,19/11/2025,,miércoles,11:00,13:00,0,1402,,,,32,IBBEA  - Perspectivas y desafíos
Reserva CYT Rectorado,26/11/2025,,Miércoles,9:00,17:00,0,1402,,Weinberg Duran,,21,Reserva WEINBERG-CYT-DURAN
Phonons 2025 ,03/12/2025,,Miércoles,9:00,18:00,0,1402,,Bragas,,13,Phonons 2025 (Bragas) 
LAGOS 2025 ,12/11/2025,,Miércoles,9:00,18:00,0,1403,,Bonomo,VAN A 1308,11,LAGOS 2025 (BONOMO)
Alimentaris Weinberg,3/12/2025,,Miércoles,9:00,17:00,0,1403,,,,20,Alimentaris Weinberg
MATEMAX 2025  (KRICK),17/12/2025,,Miércoles,9:00,18:00,0,1403,,,,21,MATEMAX 2025  (KRICK)
